scenario,final_lose_state
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
